idno,ppltrst,happy,health,cgtsday,alcfreq,height,weight,gndr,yrbrn,polpartvt
926725,5,Extremely happy,Fair,NA,Once a week,168,70,Male,1971," Venstre, Danmarks Liberale Parti"
926733,7,8,Fair,NA,Less than once a month,163,85,Female,1968,[NA] Not applicable
926759,4,7,Bad,NA,Never,168,66,Female,1953, Dansk Folkeparti
926767,8,8,Very good,NA,2-3 times a month,173,65,Female,1953," Venstre, Danmarks Liberale Parti"
926775,8,8,Good,20,Several times a week,189,75,Male,1989," Venstre, Danmarks Liberale Parti"
926806,6,Extremely happy,Very good,NA,Several times a week,172,64,Female,1979,[NA] No answer
926814,4,1,Bad,NA,Once a week,162,80,Female,1977," Venstre, Danmarks Liberale Parti"
926822,8,Extremely happy,Very good,NA,Several times a week,175,69,Male,1937," Venstre, Danmarks Liberale Parti"
926848,8,9,Very good,15,Once a month,178,76,Male,1996,[NA] Not applicable
926872,8,Extremely happy,Good,NA,Once a week,155,58,Female,1973, Dansk Folkeparti
926880,7,8,Very good,NA,Once a week,161,62,Female,1969, Socialdemokraterne
926898,5,6,Good,NA,Once a week,182,112,Male,1968, Socialdemokraterne
